id_auction,title,present_price,visits_number,end_date
2095597557,AUSTRALIA 5 $ 1992 P. 50 a  polymer  sig.  Fraser - Cole  VF   [MM-Money],27,74,2026-06-01 00:00:00
2095597563,AUSTRALIA  50 $  2018  P. 65    polymer  UNC     [MM-Money],53.5,58,2026-06-01 00:00:00
2095597566,"AUSTRALIA 10 $ 26.1.1988 P. 49 a  polymer   ""commemorative""  corrected OVD  *serial AA*    UNC",58,76,2026-05-10 00:00:00
2095597569,AUSTRALIA 20 $ 1985 P. 46   sig. Johnston - Fraser   XF \ AU     [MM-Money],53.5,36,2026-05-10 00:00:00
2095597572,AUSTRALIA 100 $ 1992 P. 48 d  sig.  Fraser - Cole  aUNC  [MM-Money],199,58,2026-05-07 00:00:00
2095597575,Aruba  50 Florin 1.1.2019  P.  23   UNC,72.5,99,2026-05-10 11:45:00
2095597578,Aruba  25 Florin 1.1.2019  P.  22   UNC,43,102,2026-05-10 11:45:00
2095597581,AUSTRALIA 50 $ 1979 P. 47 c     sig. Knight - Stone  XF \ AU    [MM-Money],155,46,2026-06-01 00:00:00
2095597584,"AUSTRALIA 10 $ 1966 P. 40 a ""Commonwealth""   *sig. Coombs - Wilson*   ""scarce note""   aUNC     [MM-Money]",63,77,2026-05-09 00:00:00
2095597587,AUSTRALIA 5 $ 1985  P. 44   sig. Johnston - Fraser    AU+      [MM-Money],21.5,44,2026-05-05 00:00:00
2095597593,AUSTRALIA 10 $ 1991 P. 45 g    sig. Fraser - Cole   UNC     [MM-Money],34.5,53,2026-06-01 00:00:00
2095597596,AUSTRALIA 5 $  1976 P. 44 b  sig. Knight - Wheeler  VF \ XF     [MM-Money],14.5,76,2026-06-01 00:00:00
2095597590,Aruba  10 Florin 1.1.2019  P.  21   UNC,19.5,91,2026-05-10 11:45:00
2095597599,"Aruba  200 Florin 1.1.2019  P.  25   ""scarce""    UNC",310,112,2026-05-10 11:45:00
2095597605,Aruba  100 Florin 1.1.2019  P.  24   UNC,155,91,2026-05-10 11:45:00
2095597608,ARMENIA 50 Dram 1998 P.  41   UNC,1.5,32,2026-05-09 00:00:00
2095597611,Armenia 25 Dram 1993 P. 34 UNC,2.5,35,2026-06-01 11:45:00
2095597623,Aruba  5 Florin 1.1.1986  P.  1   aUNC,24.5,105,2026-05-07 11:45:00
2095597626,"ARMENIA 1.000 1000 Dram 2001 P. 50 a  ""serial L""    XF+",7,28,2026-05-09 00:00:00
2095597629,Armenia  10 Dram 1993  P. 33    UNC,1.5,25,2026-05-08 11:45:00
2095597659,ARGENTINA  5 pesos  \ 500 Pesos   1969   P. 283  *scarce*    UNC,27,15,2026-05-07 00:00:00
2095597668,ARGENTINA  5.000  5000  Australes  1989  P. 330    UNC,9.5,10,2026-05-07 00:00:00
2095597671,"ARGENTINA 1 Austral  1985  P. 323  ""serie A""    *engraved*  *scarce*   UNC",3.5,9,2026-05-07 00:00:00
2095597674,"ARGENTINA  10 Pesos  1958   P. 270  ""sig. Ditaranto - Barnet""   AU",10,2,2026-05-08 00:00:00
2095597677,ARGENTINA 10 Pesos Convertibles  1992  P. 342  *sig. Pou - Pierri*   UNC   [MM-Money],25,17,2026-05-07 00:00:00
2095597686,"ARGENTINA  2 Pesos Convertibles  1999  P. 346  ""serie  B""   *sig. Pou - Pierri*   **scarce**  AU +",6,10,2026-05-06 00:00:00
2095597692,"ARGENTINA   20 Pesos 1999  P. 349  ""serie  A""   *with text convertibles de curso legal* *scarce*  AU\UNC",25,16,2026-05-06 00:00:00
2095597695,"ARGENTINA  100  Pesos  2012  P. 357  ""serie EA""  ""sig. del Pont -  Boudou""    UNC",15.5,13,2026-05-06 00:00:00
2095597683,ARGENTINA 10.000 10000 Pesos  1982   P. 306  *serie F*  *sig. Camps - Diz*     UNC,5,7,2026-05-10 00:00:00
2095597689,"ARGENTINA   20 Pesos 2014   P. 355  ""serie  F""   UNC",2.5,5,2026-05-07 00:00:00
2095597713,"ARGENTINA 1.000 1000 Pesos  2022  P. 366  ""serie OA""    *sig. Pesce - Massa*    UNC",9,5,2026-05-08 00:00:00
